trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
635,False,"{'a': 0.3649677441587843, 'e': 0.5299354883175685}",30,3,-35.55291738830972,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 1}",1
636,False,"{'a': 0.3647029088543473, 'e': 0.5294058177086945}",25,20,8.004643475618263,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.3644383382528412, 'e': 0.5288766765056825}",25,0,-37.34902312754754,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
638,False,"{'a': 0.36417403208969545, 'e': 0.528348064179391}",20,3,-64.10379935908794,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
639,False,"{'a': 0.3639099901006039, 'e': 0.5278199802012077}",25,5,-40.58750487545311,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
640,False,"{'a': 0.36364621202152425, 'e': 0.5272924240430485}",20,0,-21.974015158889113,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
641,False,"{'a': 0.3633826975886787, 'e': 0.5267653951773574}",25,0,-21.06640877144618,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
642,False,"{'a': 0.36311944653855266, 'e': 0.5262388930771054}",25,12,11.122789614701853,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
643,False,"{'a': 0.36285645860789517, 'e': 0.5257129172157903}",25,13,-17.154876517000304,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
644,False,"{'a': 0.36259373353371804, 'e': 0.5251874670674361}",20,1,15.092226332858804,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
645,False,"{'a': 0.36233127105329643, 'e': 0.5246625421065929}",20,10,5.652183958077996,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
646,False,"{'a': 0.36206907090416773, 'e': 0.5241381418083354}",30,12,-50.30166993911965,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
647,False,"{'a': 0.3618071328241318, 'e': 0.5236142656482635}",25,15,3.9184092370020895,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
648,False,"{'a': 0.36154545655125037, 'e': 0.5230909131025008}",20,14,-1.6816351274069294,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
